"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,4.27658474295067,3.62896980047581,2.05888448144629,1.95232498288631,1.95817803162184,1.93451419718874,1.87251385991699,1.46976235766802,1.36492139898865,1.40695589315095,0.912227428271637,0.471994444906908,0.352416997336031,0.508137884368941
Bahrain,BHR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,43.772,37.712,32.968,29.768,29.45,27.362,22.691,20.739,19.911,15.845,15.791,12.621,11.926,11.454
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.032,6.904,4.944,3.842,3.415,3.206,2.896,2.595,2.308,1.883,2.109,2.239,2.479,2.476
Bahrain,BHR,Net migration,SM.POP.NETM,-421,-1060,6833,6613,4256,4605,7706,6264,53401,-17076,29250,-48716,-9150,0
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,3.38547448899751,2.6678812397579,5.21546259736616,4.48353092867668,3.55195306993781,3.35452035445772,3.26346251160817,2.7515762605179,7.89520208580362,2.85774564487366,3.81660491261165,-1.12524267833833,-0.966024840061971,0.611005553402689
Barbados,BRB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.397,20.398,18.682,18.41,17.12,15.622,14.714,13.955,13.371,12.115,11.095,10.859,10.832,10.783
Barbados,BRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.423,8.59,8.482,8.178,9.042,9.701,9.863,9.47,9.218,9.037,8.772,8.973,9.007,9.114
Barbados,BRB,Net migration,SM.POP.NETM,-3243,-1995,-1256,-1410,-1548,-1295,-752,-833,-172,-36,-65,0,-28,-80
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.36246583618546,0.333201550622559,0.502698135956367,0.490603048828426,0.245346500136448,0.0421152689527813,0.225566157680382,0.18418126822941,0.361350772944923,0.335459437797166,0.212392263810218,0.182929163306018,0.180461453548187,0.154574639677083
Belgium,BEL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.4,14.7,12.2,12.6,11.6,12.4,11.4,11.4,11.4,11.9,10.8,9.9,10.2,9.8
Belgium,BEL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.2,12.3,12.2,11.5,11.3,10.4,10.3,10.2,9.9,9.7,9.8,11,9.7,10
Belgium,BEL,Net migration,SM.POP.NETM,17110,15519,10637,5129,2743,6752,16528,32262,46280,54611,57008,53428,52356,23999
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.908137001686598,0.0986136915027669,0.288978161128393,0.110211165985901,0.029786422643661,0.298235706313592,0.209436838020324,0.242517956221334,0.550055708089009,0.913639391631709,0.579446241677791,0.430996815099722,0.411601996532257,0.856132433382837
Bermuda,BMU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,20.3,..,14.9,..,14.6,13.3,13.5,13.1,12,9.4,8.4,7.7,7.5
Bermuda,BMU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..,7.6,7.1,7.3,..,7.3,7.9,8,7.1,7.4,7.7,8.8,11.3,9.1
Bermuda,BMU,Net migration,SM.POP.NETM,405,240,-339,-158,-43,-96,-72,-67,-80,-216,-315,291,291,0
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,2.42436116099929,1.83491386681966,-0.751883241402734,1.60416457391693,0.838331433559174,0.820876764965184,0.715572569423702,0.890208773614165,0.647413398667903,-0.783118104363585,0.151869636092964,-0.0281681326390652,-0.202104144558527,-0.265391686795242
British Virgin Islands,VGB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,28.849,23.508,24.686,25.024,17.634,15.399,15.18,14.729,11.252,9.863,9.189,7.448,7.634,7.64
